"RegionName","State","Metro","StateCodeFIPS","MunicipalCodeFIPS","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04"
"Prince George County","VA","Richmond","51","149",1253,239000,225529,228970,224500,225000,224950,223067.5,220000,219700,215000,218750,215000,210000,199900,211250,202900,199700,202700,206000,2e+05,210000,217450,210000,215000,202450,209925,209950,199900,199500,190000,189900,197700,197000,195000,189400,186900,185975,199450,199950,224900,219900,215000,218500,223000,215499.5,224950,209950,215450,205000,204500,205000,216990,225000,222250,224950,225000,219450,209970,208975,195000,209000,219000,215000,225000,225000,219900,226000,219975,218000,218000,209900,205000,219500,214900,212400,215000,214900,214950,213450,215000,219450,215000,220500,220500,229000,232450,224950,224900,227450,230900,229900,239500,234950,245000,237250,230001,235500,242475,222450,234975,239975,235250,234950,233304,235000,230000,224500,197450,212475,215000,226250,229900
"Jasper County","TX",,"48","241",1254,123950,125000,125000,129000,129900,129000,129500,129950,125000,119900,119900,119900,125500,125900,124700,124900,124950,129450,133250,125900,134750,138000,139500,139900,140000,139900,130000,136500,138000,133700,135000,133400,129900,129900,135000,131820,138250,135000,129900,129900,129900,130000,129900,129900,129900,129000,129900,135000,139900,139900,146950,148850,140000,144900,137000,140000,129990,137000,140000,140950,141950,139900,136450,134950,134900,130000,130000,134950,139900,139900,135000,132000,139200,134950,135000,139000,139000,140000,139000,145000,149000,145000,139900,145000,144000,149000,150000,159900,149900,149450,149000,149000,149900,149000,149900,149900,149700,149800,149900,157200,169000,169000,169000,169900,169000,157313.5,149950,146950,146500,157295,159659,164000
"Cocke County","TN","Newport","47","029",1255,149900,149900,149900,149900,149700,145000,143000,139950,135000,129900,129900,129500,129900,124900,129900,135450,124900,124500,119900,124900,129900,130000,137500,129900,127900,128450,128450,125000,124000,119900,119900,118925,119000,115000,119500,123900,120000,129000,129900,129900,134900,139000,139045,137500,139900,139900,139900,139900,139900,134900,134900,139900,149900,146950,146950,149900,149900,149900,142450,139000,139450,144900,142350,149777,149000,149900,149900,148500,149900,146950,143700,139900,138750,135000,136500,136500,139000,139000,139900,139900,139900,145500,149900,149000,149900,149900,149900,157500,149900,149900,150000,150000,155000,154950,149950,151200,149900,149900,148500,151250,150900,149900,157000,150000,159800,159000,159900,159450,159000,157400,158200,155900
"Beauregard Parish","LA","DeRidder","22","011",1256,149000,151500,151500,156500,155500,159000,157500,149900,149450,149900,151250,152750,157900,149900,149900,155400,159900,162900,159900,165000,165000,161375,161750,164680,164950,164900,159900,159900,159000,162000,162000,159000,150500,152750,154500,151000,159449.5,164750,165000,162150,162800,164500,161500,151000,151750,159900,149500,159900,158000,161900,161000,160000,163500,160000,164950,167000,167000,165000,164950,165000,165500,164950,159700,159700,165500,169000,168000,168900,164950,162000,165000,159000,160000,159450,167000,169950,164000,160000,160000,169900,170750,164900,167400,171500,160000,159950,159900,159450,160000,165000,165825,164900,164900,159900,162500,165250,164900,165000,165000,164950,160000,162500,173850,165000,173850,169000,178500,179450,179900,179000,179900,185000
"Whitley County","KY","London","21","235",1257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162400,159700,154000,149900,149900,149900,148900,129900,135900,125000,119900,112350,109000,114800,114850,109900,120000,129900,129900,139000,129950,129950,122400,127900,129900,129000,129900,122950,127900,129900,129900,130000,137500,139000,139825,141000,139450,137000,138000,139000,135000,135900,135900,137500,137750,138500,132200,129500,119900,129500,129900,129900,129900,129700,134900,134900,129700,129250,129000,120000,125000,119950,120000,123000,127200,129000,129950,131000,129500,129700,129250,125000,129000,127900,129000,129000,129900
"Wapello County","IA","Ottumwa","19","179",1258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81750,86250,92400,100450,82500,89200,89500,99500,112400,99500,109900,94000,90000,89250,84900,83000,83500,84000,87000,83000,93500,92500,92500,94450,95000,99900,99900,99900,90000,93950,98000,98250,99900,99900,103000,95000,89700,89250,87500,89500,87250,89500,95500,87900,89000,89000,88500,89000,89000,89900,95000,95000,93000,95000,95000
"Clark County","KY","Lexington-Fayette","21","049",1259,134900,135000,129900,136900,134900,136500,135450,139500,136700,136900,138000,136500,135000,137500,139900,139700,139500,139900,139900,144200,146500,139900,139900,139900,139900,140500,143900,140000,137950,139000,139000,129900,128250,129950,138250,136900,139900,139950,139900,139900,139450,139450,135000,134275,135000,134900,135000,134900,134900,132450,134900,132000,139900,142000,144900,139950,139900,141000,142900,139837.5,138000,139900,139900,139700,137700,138000,145000,145000,144250,144700,138500,144000,145000,144250,139900,150900,157000,154950,155000,154900,155500,154900,144500,141000,147950,148000,155000,155000,159370,169900,169900,168000,168950,164900,168500,169900,169900,169900,172450,172250,172000,172500,169900,172250,174700,169500,169000,165900,168900,165000,169900,179500
"Barry County","MO",,"29","009",1260,125000,131900,131900,129900,129950,128900,129900,124900,123700,120000,119500,119250,114900,114900,128750,136200,135900,144000,139450,138000,135900,136000,139900,138000,139000,130000,127900,125900,125000,125250,124900,124950,125900,123900,120000,117900,115000,114900,119000,124900,124950,129500,138450,130750,150000,147250,139900,145000,144500,139700,135000,135000,139900,139900,139900,134900,140000,145000,132500,129900,130000,132500,139000,139450,159900,139900,135000,139000,139500,135450,133000,130000,135000,139900,145750,145000,149900,145000,149000,149000,145700,142200,145700,139900,131500,136700,139900,149900,149700,150500,156900,154000,156900,156900,154500,156900,156900,156900,159500,159000,154900,150000,149900,150000,159900,164900,165000,164450,154900,169900,169900,169000
"Laclede County","MO","Lebanon","29","105",1261,129900,134900,137900,139900,142250,139900,139900,139700,131250,135900,129900,128500,122900,125000,128250,129900,135000,129900,129900,129900,129900,129900,129700,129900,134900,131950,125000,125000,126250,131700,134900,134900,135000,129900,129900,130000,129900,129000,126750,125000,129700,124700,124900,129900,130750,139900,129900,138200,129900,122500,122500,129900,138950,138500,130500,137900,139900,144950,144900,143338.5,144500,145900,149250,144900,149900,139900,139900,135000,129900,129900,125000,127400,130000,130000,134950,139900,141000,137000,137000,139900,139900,139900,139900,139700,140000,137950,139250,139900,144900,148000,149900,141000,139900,141000,149450,140000,139950,144950,147500,149000,152500,149900,159900,162116,157450,154950,161957,159500,162400,154500,149900,154250
"Morgan County","IL","Jacksonville","17","137",1262,89900,90000,97500,107900,105000,109000,102449.5,111400,114900,100999.5,106999.5,109900,114500,98750,102000,109450,106900,93950,95900,89950,91250,88900,89900,95450,99450,97900,104900,101499.5,101500,103950,103900,103900,94850,93250,93500,96750,98900,92700,91900,93500,91900,86200,79900,84900,89900,95000,94900,95750,97500,97850,98850,99900,115250,115000,107000,115950,106500,107900,105000,96900,99000,97250,97750,109900,96950,110000,109900,107400,104900,92000,90900,92000,88900,84900,85000,92500,96250,98000,99000,109000,113400,112900,102000,102000,119900,107900,114949.5,102400,108000,114900,110000,114900,114900,114000,111000,110000,114900,104900,112000,119700,117500,117000,124900,117200,110000,114900,109900,106949.5,108900,104500,114900,113700
